id;amount;duration;created_date;last_modified_date;created_by;last_modified_by;is_deleted;creator_id
1;32.13;23327;2024-02-21T12:01:41;2024-02-21T20:54:38;sudden bulldozer underneath;hence gratefully impartial;true;32379
2;58.53;3689;2024-02-21T10:55:07;2024-02-21T08:56:34;repackage automate;polenta;false;17201
3;243.42;8256;2024-02-21T13:36:33;2024-02-21T10:15:51;pot;phew;true;5103
4;660.69;2642;2024-02-21T20:31:44;2024-02-21T17:59:47;culture;brr gah;false;22539
5;92.97;12349;2024-02-21T01:51:11;2024-02-21T00:08:11;caviar provided;verbally duh furthermore;false;1061
6;866.79;17293;2024-02-21T07:28:42;2024-02-21T03:52:03;author if;gruesome;false;15395
7;93.81;492;2024-02-21T17:10:17;2024-02-21T18:25:24;farmland;finally;false;25547
8;160.16;14800;2024-02-21T18:30:20;2024-02-21T12:32:49;gadzooks terribly;a;true;9255
9;727.76;16683;2024-02-21T03:34:31;2024-02-21T00:19:32;righteously bogus;plus gamma-ray upbeat;false;16337
10;107.26;25315;2024-02-21T20:08:35;2024-02-21T04:41:51;bravely dampen;politely until crossly;true;5634
