id;amount;last_modified_date;transaction_type;created_date;created_by;last_modified_by;is_deleted;viewer_id
1;13020.03;2024-02-21T13:32:33;WITHDRAWAL;2024-02-21T00:30:24;next upon;more laboratory minus;true;11978
2;30100.21;2024-02-21T01:13:30;PURCHASE;2024-02-21T13:14:12;bagpipe apud rectangular;failing magnet stopper;false;26817
3;27899.24;2024-02-21T20:11:51;PURCHASE;2024-02-21T11:59:42;ick huzzah against;vastly tugboat mmm;true;6083
4;21769.03;2024-02-21T08:59:54;WITHDRAWAL;2024-02-21T04:28:30;junket until hence;fat;true;9745
5;20961.96;2024-02-21T08:12:21;PURCHASE;2024-02-21T23:19:17;through hospitalize wildly;serene pish;false;31539
6;25149.02;2024-02-21T14:31:00;PURCHASE;2024-02-21T05:40:17;hence daintily failing;osmosis querulous wholly;false;19381
7;19678.69;2024-02-21T10:31:28;TOP_UP;2024-02-21T10:17:02;duh rough manhunt;inasmuch haul furthermore;false;958
8;9828.87;2024-02-21T03:55:40;WITHDRAWAL;2024-02-21T09:26:52;interestingly solemnly;joyously;false;16875
9;18672.43;2024-02-21T00:50:12;PURCHASE;2024-02-21T23:27:52;tributary;whose unimpressively;true;17524
10;11412.23;2024-02-21T08:06:24;REFUND;2024-02-21T06:12:47;drat;silently ah;true;16308
