id;emoji_type_id;created_date;last_modified_date;created_by;last_modified_by;is_deleted;multimedia_id;message_id;post_id;comment_id;liker_user_id
1;8252;2024-02-21T17:30:16;2024-02-21T07:26:15;nonconformist;reassuringly utilisation;true;17264;13373;1015;4398;17940
2;15137;2024-02-21T17:45:44;2024-02-21T17:08:58;fooey substance;oily geez;true;27614;25215;4657;22135;4586
3;15772;2024-02-21T19:32:13;2024-02-21T11:16:14;than pretty;why about;true;22650;6754;26468;16099;24952
4;9540;2024-02-21T19:02:28;2024-02-21T12:23:45;squirm;a;true;2106;13918;26927;23517;2691
5;10942;2024-02-21T10:14:08;2024-02-21T08:33:37;valiantly trifling;appall;false;22486;30378;15422;3243;26867
6;26356;2024-02-21T21:18:49;2024-02-21T10:09:32;careful brave punctually;readily towards mmm;false;18455;7315;1219;10249;22639
7;1810;2024-02-21T22:38:49;2024-02-21T16:12:27;dreary whereas;than;true;7298;18920;958;1274;25681
8;23767;2024-02-21T15:47:36;2024-02-21T06:33:38;wrongly towards;awkwardly anti;false;13837;6846;4331;5904;25404
9;4255;2024-02-21T03:22:44;2024-02-21T14:56:19;loaf tenderly;demilitarise yearly;false;7566;20867;15142;6894;13510
10;27684;2024-02-21T14:47:03;2024-02-21T16:59:58;that new;consequently;true;4644;3075;6054;2483;4212
