id;comment_content;like_count;created_date;last_modified_date;created_by;last_modified_by;is_deleted;commenter_user_id;post_id
1;../fake-data/blob/hipster.txt;15951;2024-02-21T14:08:58;2024-02-21T01:30:17;contest malfunction affinity;that while severe;true;12509;1
2;../fake-data/blob/hipster.txt;7301;2024-02-21T09:52:21;2024-02-21T09:51:58;ah grim;swamp married overdue;true;15345;2
3;../fake-data/blob/hipster.txt;9568;2024-02-21T23:51:02;2024-02-21T03:59:42;for enormous;ready mmm;false;2132;3
4;../fake-data/blob/hipster.txt;2083;2024-02-21T21:26:30;2024-02-21T19:41:46;motorcycle;suddenly until mew;false;2242;4
5;../fake-data/blob/hipster.txt;20436;2024-02-21T01:22:06;2024-02-21T09:00:22;instrumentalist;brighten;false;28759;5
6;../fake-data/blob/hipster.txt;18574;2024-02-21T22:32:09;2024-02-21T16:35:55;snore burnish huzzah;hanker alarming;true;11414;6
7;../fake-data/blob/hipster.txt;22886;2024-02-21T18:25:23;2024-02-21T18:52:37;vastly far yippee;minus;false;28511;7
8;../fake-data/blob/hipster.txt;14036;2024-02-21T09:01:17;2024-02-21T12:11:02;creamy cure humiliating;shameful however;false;4867;8
9;../fake-data/blob/hipster.txt;9781;2024-02-21T17:45:44;2024-02-21T03:19:24;wisely hundred back;blissfully silently;true;14326;9
10;../fake-data/blob/hipster.txt;25551;2024-02-21T02:44:01;2024-02-21T11:03:23;flashy stunning focused;tyrannize wearily;true;9113;10
