id;question;is_multi_choice;last_modified_date;end_date;post_poll_duration;created_date;created_by;last_modified_by;is_deleted
1;../fake-data/blob/hipster.txt;true;2024-02-21T21:38:10;2024-02-21;6686;2024-02-21T11:01:06;woot throughout inasmuch;daily toward;false
2;../fake-data/blob/hipster.txt;true;2024-02-20T23:59:42;2024-02-21;13059;2024-02-21T03:40:50;inasmuch;what yowza;false
3;../fake-data/blob/hipster.txt;false;2024-02-21T05:47:27;2024-02-21;27067;2024-02-21T06:02:42;lest righteously damp;twins careful;false
4;../fake-data/blob/hipster.txt;false;2024-02-21T22:13:04;2024-02-21;29900;2024-02-21T11:21:34;contradict shabby;vainly wealthy;true
5;../fake-data/blob/hipster.txt;true;2024-02-21T10:32:58;2024-02-21;25353;2024-02-21T07:27:42;blissful without;midst;false
6;../fake-data/blob/hipster.txt;false;2024-02-21T07:16:10;2024-02-21;8517;2024-02-21T01:37:28;peppery;consequently quickly;false
7;../fake-data/blob/hipster.txt;true;2024-02-21T08:12:20;2024-02-21;15403;2024-02-21T13:17:36;meanwhile whoever;prune;true
8;../fake-data/blob/hipster.txt;false;2024-02-21T03:49:29;2024-02-21;2401;2024-02-21T03:41:46;midst toward repeatedly;grave;false
9;../fake-data/blob/hipster.txt;false;2024-02-21T18:40:26;2024-02-21;2877;2024-02-21T04:11:05;bah thoroughly;well loot;false
10;../fake-data/blob/hipster.txt;true;2024-02-21T22:33:23;2024-02-21;22993;2024-02-21T11:03:04;violent;following instead pleasing;true
