id;created_date;last_modified_date;created_by;last_modified_by;is_deleted;mentioned_user_id
1;2024-02-21T16:39:31;2024-02-21T06:10:13;rule pure;router;true;5518
2;2024-02-21T19:26:01;2024-02-21T02:28:09;um after;woot;false;10935
3;2024-02-21T08:52:39;2024-02-21T19:13:12;through digit;better gadzooks skate;false;18965
4;2024-02-21T13:42:18;2024-02-21T01:43:04;incur after regarding;when parachute by;true;25104
5;2024-02-21T04:35:26;2024-02-21T00:07:36;ew above;exactly comics bah;false;24719
6;2024-02-21T05:10:49;2024-02-21T02:37:18;powerfully;fragrant;false;7512
7;2024-02-21T03:07:58;2024-02-21T23:48:46;perjure;amid;false;27814
8;2024-02-21T19:32:04;2024-02-21T05:17:58;ack jet;doting;true;1360
9;2024-02-21T19:30:18;2024-02-21T14:11:08;mill than where;geez now;false;7642
10;2024-02-21T07:04:15;2024-02-21T05:35:55;agony;placebo ack;false;11192
