id;amount;video_count;image_count;is_paid_content;created_date;last_modified_date;created_by;last_modified_by;is_deleted;message_id;post_id
1;6685.26;29139;6522;false;2024-02-21T18:39:56;2024-02-21T10:45:05;modernize;at visible whether;true;24188;15994
2;20467.33;28170;4585;true;2024-02-21T23:39:50;2024-02-21T21:50:08;foolishly whoever;so;false;23775;16930
3;29985.04;8759;17146;false;2024-02-21T10:40:43;2024-02-21T19:07:07;after glory unhappy;sheer belt aside;false;30136;14501
4;30773.84;26099;4914;true;2024-02-21T06:34:00;2024-02-21T05:12:49;amidst lazily;fooey tenderly colleague;true;24034;23072
5;14954.83;21815;19232;false;2024-02-21T18:57:20;2024-02-21T03:10:13;vice decent given;gosh addle;true;22800;8862
6;12755.08;12617;6030;false;2024-02-21T12:48:25;2024-02-21T22:06:36;periodic oversee underneath;potentially dense;true;9530;869
7;31131.05;8363;9335;true;2024-02-21T14:46:55;2024-02-21T22:00:47;partridge across concerning;drizzle wage woot;true;6258;5614
8;3177.57;19465;1433;false;2024-02-21T09:00:13;2024-02-21T01:40:16;helpfully enumerate;capitalize ew;false;10167;30903
9;7350.88;18271;28695;false;2024-02-21T17:14:44;2024-02-21T17:20:34;psst opposite off;well-informed;true;17512;6312
10;20112.81;29616;9925;false;2024-02-21T16:19:14;2024-02-21T21:43:04;reorganise;babushka;false;23871;11534
