id;created_date;last_modified_date;created_by;last_modified_by;is_deleted;tagged_user_id;tag_status
1;2024-02-21T05:33:13;2024-02-21T06:49:31;impassioned boatyard;after;false;27097;REJECTED
2;2024-02-21T17:10:30;2024-02-21T23:45:40;neglected;um considering um;true;25656;REJECTED
3;2024-02-21T02:10:30;2024-02-21T06:54:58;midst poorly generally;glut;false;24055;REJECTED
4;2024-02-21T06:53:05;2024-02-21T09:59:06;unethically;interleave lest;true;19179;REJECTED
5;2024-02-21T12:01:44;2024-02-21T12:31:21;till mete;designer;true;28781;AUTHORIZED
6;2024-02-21T20:25:52;2024-02-21T06:32:19;whoa joyously eligibility;yahoo intently;true;12446;REJECTED
7;2024-02-21T00:11:00;2024-02-21T19:30:06;through loyally gee;atop brr;false;18234;AUTHORIZED
8;2024-02-21T14:31:17;2024-02-21T17:12:32;ha gah now;clay seemingly fooey;true;30112;AUTHORIZED
9;2024-02-21T12:39:07;2024-02-21T01:11:03;inasmuch;mortality fooey;true;22149;AUTHORIZED
10;2024-02-21T05:56:36;2024-02-21T19:00:54;menacing knowledgeably;daintily familiarize anti;true;3424;PENDING
