id;content;feedback_date;feedback_rating;feedback_type;created_date;last_modified_date;created_by;last_modified_by;is_deleted;creator_id
1;whenever;2024-03-02T01:13:10;4465;SUGGESTION;2024-03-02T11:47:42;2024-03-02T09:13:58;while;satisfied;true;26934
2;gee short-term;2024-03-02T17:39:02;23222;PRAISE;2024-03-02T09:15:08;2024-03-02T11:32:08;boo curry;lifetime yowza;true;12629
3;though luxurious;2024-03-02T02:40:07;26134;ERROR;2024-03-02T11:11:07;2024-03-01T18:50:27;yippee digital;instigate;false;27327
4;spotted;2024-03-02T10:39:01;19873;OTHER;2024-03-02T14:22:47;2024-03-02T11:04:25;than;cook gape;false;28792
5;frivolous;2024-03-02T11:19:16;4968;PRAISE;2024-03-02T13:44:44;2024-03-02T03:12:09;ingratiate honestly;under;true;12461
6;gray apropos yieldingly;2024-03-02T14:52:52;3880;SUGGESTION;2024-03-02T02:22:48;2024-03-02T01:18:45;staunch specific outlive;so person;false;14039
7;than;2024-03-02T08:57:19;21004;PRAISE;2024-03-02T16:09:19;2024-03-01T18:15:08;through;far;false;15159
8;sans;2024-03-02T13:11:56;3012;OTHER;2024-03-02T05:14:30;2024-03-02T07:01:24;unkempt throne clog;jellybeans situate upset;true;10035
9;given beneath along;2024-03-02T09:22:44;30791;PRAISE;2024-03-02T10:00:43;2024-03-01T22:57:28;tomorrow gestate;sugary;true;12700
10;failing undo;2024-03-02T17:12:52;9464;SUGGESTION;2024-03-01T20:03:30;2024-03-01T19:00:17;boo far lumbering;correctly until awkwardly;true;13165
