id;tag_name;created_date;last_modified_date;created_by;last_modified_by;is_deleted
1;enlightened except;2024-03-02T04:54:36;2024-03-01T22:10:46;um;wall why song;true
2;aw dreary itchy;2024-03-01T18:22:04;2024-03-02T14:19:25;owlishly ick;deliberately brr;true
3;till glorious;2024-03-01T20:53:14;2024-03-02T03:32:27;regarding defiantly;backyard hourly instead;false
4;hastily oddly atop;2024-03-02T06:44:50;2024-03-01T21:55:47;consequently till athwart;abaft;false
5;eyelid cleverly;2024-03-02T14:32:56;2024-03-02T11:10:08;hopeful impoverish;crossly across;true
6;if along;2024-03-02T02:05:36;2024-03-01T20:09:18;by boo;intently perfectly;true
7;above hideous westernize;2024-03-01T19:55:42;2024-03-02T08:39:54;full;yum;false
8;crewmen unhand harbour;2024-03-02T12:05:04;2024-03-02T00:03:42;harbor gee throughout;aw reproachfully;false
9;standardise;2024-03-02T11:18:40;2024-03-02T06:18:59;oar hideous rarely;jazz;true
10;risk;2024-03-02T11:39:44;2024-03-01T19:58:02;swordfight;inasmuch yowza;false
