id;created_date;last_modified_date;created_by;last_modified_by;is_deleted;id_state;user_id
1;2024-03-02T09:54:00;2024-03-02T05:07:41;manager yin hammer;demote near dreary;true;18238;1
2;2024-03-02T07:16:08;2024-03-01T20:11:23;since nearly house;as competitor;false;27861;2
3;2024-03-02T00:17:15;2024-03-02T01:27:59;declutter extremely wherever;elephant;true;21329;3
4;2024-03-02T01:46:35;2024-03-01T18:29:38;monk;cruelly submerge even;false;8459;4
5;2024-03-01T19:11:10;2024-03-02T13:35:43;glamorous as meh;times ice competent;false;5460;5
6;2024-03-02T11:58:30;2024-03-02T14:32:19;crunch er;potentially;false;14717;6
7;2024-03-02T00:42:35;2024-03-02T13:57:01;bamboozle throughout gadzooks;empathize when;true;28800;7
8;2024-03-02T13:05:15;2024-03-01T19:35:53;gee pish;aggregate;true;73;8
9;2024-03-02T00:14:08;2024-03-02T10:32:40;form powerfully;vacantly mysteriously scarcely;true;21785;9
10;2024-03-02T14:32:49;2024-03-02T13:11:38;planter;unlike potentially;true;27147;10
