id;start_date;end_date;reason;alt_special_title;created_date;last_modified_date;created_by;last_modified_by;is_deleted;special_title_id
1;2024-03-01;2024-03-02;somersault sad geez;frenetically wholly pyridine;2024-03-02T02:34:18;2024-03-02T09:57:21;than beside mysteriously;pish nervously per;true;6968
2;2024-03-02;2024-03-02;or who;lollop spear oddly;2024-03-02T08:23:07;2024-03-02T00:30:27;puzzled hence uh-huh;as indolent mochi;true;2973
3;2024-03-02;2024-03-02;excepting nor;within;2024-03-02T06:40:42;2024-03-01T19:07:53;ugh;minus er impinge;false;17422
4;2024-03-02;2024-03-02;lest;eternity;2024-03-02T17:15:49;2024-03-02T02:12:10;aw above;wordy;true;18585
5;2024-03-02;2024-03-02;egg;forthright until;2024-03-02T17:33:54;2024-03-02T13:44:33;concerned innocently;sphere wobbly;false;21587
6;2024-03-01;2024-03-01;however unhappy qua;latex;2024-03-02T02:42:22;2024-03-01T22:07:08;phosphate unfit brr;phooey;true;13303
7;2024-03-02;2024-03-02;while whether yippee;wear;2024-03-01T21:11:37;2024-03-02T02:51:43;fall duh as;meanwhile contrast paraphrase;false;17764
8;2024-03-02;2024-03-01;nor;happily midst greedily;2024-03-02T08:57:43;2024-03-02T11:07:45;oof quirkily;into tough speedily;true;9719
9;2024-03-02;2024-03-02;valiantly marathon;messy;2024-03-01T18:35:22;2024-03-02T08:26:42;upwardly needily;possibility;true;10607
10;2024-03-01;2024-03-02;who;secret selfish significance;2024-03-02T06:10:39;2024-03-02T11:04:11;boohoo;very yieldingly vivid;true;21245
