id;requested_date;status;association_token;expiry_date;created_date;last_modified_date;created_by;last_modified_by;is_deleted;owner_id
1;2024-03-02T09:13:46;REQUESTED;down below;2024-03-02T00:48:21;2024-03-02T10:35:50;2024-03-02T07:05:00;disambiguate;too branch;false;15450
2;2024-03-02T16:48:57;REQUESTED;youthfully espadrille bah;2024-03-02T16:22:12;2024-03-02T04:31:59;2024-03-02T06:25:01;memorable surmount;soulful tomorrow;false;17897
3;2024-03-02T07:31:56;REJECTED;fundraising;2024-03-02T03:19:35;2024-03-02T00:22:14;2024-03-01T19:29:17;unfolded better;short-term once punctually;false;12204
4;2024-03-02T07:58:04;REQUESTED;provided beseech;2024-03-02T06:05:54;2024-03-02T16:59:08;2024-03-02T01:53:40;whose globalise;indeed;true;26432
5;2024-03-02T01:41:48;REQUESTED;snow blizzard;2024-03-02T04:27:39;2024-03-01T22:20:49;2024-03-01T21:12:17;atop gracefully;out barring;true;2275
6;2024-03-02T16:57:17;REJECTED;ouch soon;2024-03-02T02:07:13;2024-03-02T16:26:55;2024-03-02T11:05:18;throttle casement;beatboxer disport;false;32130
7;2024-03-01T23:47:57;REQUESTED;wastebasket buck;2024-03-02T17:58:25;2024-03-02T14:30:38;2024-03-02T11:43:51;reparation;under burgle;false;31532
8;2024-03-02T09:14:41;REJECTED;outside exeunt car;2024-03-02T13:10:28;2024-03-02T06:55:22;2024-03-01T19:59:37;iterate delayed to;tenderise;false;14846
9;2024-03-02T00:59:32;APPROVED;playfully since;2024-03-02T07:30:27;2024-03-02T09:17:38;2024-03-02T15:53:59;advocate at;burly and crooked;true;17250
10;2024-03-02T16:59:20;APPROVED;demystify;2024-03-01T23:51:23;2024-03-02T01:31:18;2024-03-02T07:45:46;cartel;eek drag inconsequential;false;3208
