id;title;description;start_date;end_date;creator_event_status;created_date;last_modified_date;created_by;last_modified_by;is_deleted;creator_id
1;down recapture miserably;../fake-data/blob/hipster.txt;2024-03-02;2024-03-02;DELETED;2024-03-02T02:13:53;2024-03-01T21:14:18;truthfully blue;uh-huh disguise presentation;true;1467
2;potentially a;../fake-data/blob/hipster.txt;2024-03-02;2024-03-02;CANCELED;2024-03-02T01:45:26;2024-03-02T11:04:40;prevaricate pish unnatural;into meh;false;12411
3;gadzooks mulch;../fake-data/blob/hipster.txt;2024-03-02;2024-03-01;DELETED;2024-03-02T17:24:45;2024-03-01T23:34:02;acclimate drat;patroller evenly;false;12096
4;yum delude textual;../fake-data/blob/hipster.txt;2024-03-01;2024-03-01;DELETED;2024-03-02T12:20:23;2024-03-01T19:42:56;hover limitation;breathalyze;false;10809
5;serious ashram;../fake-data/blob/hipster.txt;2024-03-02;2024-03-02;CANCELED;2024-03-02T13:51:49;2024-03-01T19:51:54;somewhere;patch blissfully;false;26858
6;ignorance because;../fake-data/blob/hipster.txt;2024-03-01;2024-03-02;ACTIVE;2024-03-02T11:19:18;2024-03-02T03:54:29;gee joyously teeming;plunge;false;11324
7;yearly;../fake-data/blob/hipster.txt;2024-03-02;2024-03-02;CANCELED;2024-03-02T04:47:35;2024-03-02T17:09:21;maracas tremendous;daring crystallise frayed;false;5869
8;madly behind on;../fake-data/blob/hipster.txt;2024-03-02;2024-03-02;CANCELED;2024-03-01T18:24:12;2024-03-01T21:29:02;likewise;yahoo than after;false;8757
9;until detach meh;../fake-data/blob/hipster.txt;2024-03-01;2024-03-02;DELETED;2024-03-02T09:59:23;2024-03-02T01:44:00;of humiliate upliftingly;project;true;25836
10;perpendicular;../fake-data/blob/hipster.txt;2024-03-02;2024-03-02;DELETED;2024-03-02T07:55:03;2024-03-02T08:17:59;but;sleek atop;true;3489
